district,status,balcony,area_kitchen,area_living,area,room,floor,price,age
6.0,2.0,1.0,14.0,19.0,44.0,1,4,15000,3
4.0,3.0,0.0,15.0,27.0,46.0,1,3,19300,3
4.0,3.0,0.0,15.0,39.0,50.0,1,10,21200,3
5.0,3.0,0.0,16.0,42.0,69.0,2,8,18100,3
3.0,3.0,1.0,35.0,35.0,98.0,2,8,27000,3
3.0,3.0,1.0,15.0,27.0,42.0,1,10,21200,3
2.0,2.0,0.0,15.0,27.0,33.0,1,2,15400,3
4.0,2.0,0.0,8.0,30.0,50.0,2,5,10000,1
3.0,2.0,0.0,15.0,27.0,43.0,1,5,15000,3
1.0,2.0,0.0,7.0,27.0,45.0,2,2,12000,1
2.0,3.0,1.0,16.0,42.0,60.0,2,2,20000,2
3.0,3.0,0.0,15.0,27.0,45.0,1,3,19300,3
4.0,3.0,0.0,16.0,40.0,72.0,3,5,20000,3
4.0,2.0,1.0,16.0,42.0,84.0,2,3,17000,3
