district,price,room,area,floor,age,status,balcony,area_kitchen,area_living
2.0,23400,2,64.0,3,3,2.0,0.0,15.0,40.0
5.0,15600,1,45.0,7,3,2.0,0.0,16.0,26.0
3.0,17000,2,75.0,4,3,2.0,0.0,16.0,41.0
4.0,15000,1,53.0,8,3,2.0,0.0,16.0,27.0
4.0,23400,2,70.0,10,3,3.0,1.0,16.0,40.0
5.0,19500,1,54.0,8,3,2.0,0.0,16.0,27.0
2.0,25350,1,55.0,11,3,2.0,0.0,16.0,27.0
2.0,46800,2,90.0,3,3,3.0,0.0,16.0,42.0
6.0,14000,1,55.0,10,3,2.0,0.0,16.0,27.0
1.0,21450,2,80.0,2,3,3.0,0.0,16.0,41.0
4.0,16000,1,60.0,3,3,2.0,0.0,16.0,28.0
4.0,19500,1,43.0,14,3,2.0,0.0,16.0,26.0
5.0,21000,2,57.0,5,3,2.0,0.0,15.0,39.0
1.0,23400,1,50.0,2,3,3.0,0.0,16.0,27.0
3.0,25350,2,70.0,4,3,3.0,0.0,16.0,40.0
5.0,35100,2,81.0,2,3,3.0,0.0,16.0,41.0
4.0,13000,2,58.0,4,3,2.0,0.0,15.0,39.0
3.0,14500,1,43.0,4,3,2.0,0.0,16.0,26.0
4.0,20000,1,45.0,14,3,3.0,0.0,16.0,26.0
5.0,25350,2,63.0,4,3,3.0,0.0,15.0,39.0
3.0,16000,1,45.0,4,3,2.0,0.0,16.0,26.0
4.0,15000,2,60.0,1,3,2.0,0.0,15.0,39.0
5.0,21450,2,74.0,15,3,3.0,0.0,16.0,41.0
1.0,19500,1,52.0,2,3,3.0,0.0,16.0,27.0
5.0,15600,1,55.0,3,3,2.0,0.0,16.0,27.0
6.0,15600,2,80.0,5,3,2.0,0.0,16.0,41.0
3.0,31200,3,92.0,5,3,3.0,0.0,15.0,54.0
5.0,11000,2,55.0,4,3,2.0,0.0,15.0,39.0
2.0,27300,1,50.0,6,3,3.0,0.0,16.0,27.0
5.0,27300,2,75.0,16,3,3.0,0.0,16.0,41.0
3.0,27300,2,63.0,5,3,2.0,0.0,15.0,39.0
1.0,15600,2,56.0,9,3,2.0,0.0,15.0,39.0
5.0,27300,2,75.0,10,3,3.0,0.0,16.0,41.0
6.0,16000,2,70.0,4,3,2.0,0.0,16.0,40.0
